periodo,tipo_exam,descripcion,link
ADMISION 2023-I,EXTRAORDINARIO,Resultados Personas con Discapacidad,http://admisionunt.info/docs/padrones/20231/20231-persona-discapacidad.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_A.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_B.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_CD.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_A.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_B.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_CD.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_A.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_B.txt
ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_CD.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_A.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_A.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_B.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área C y D Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_CD.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_B.txt
ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área C y D Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_CD.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230547.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230602.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230543.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230544.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230545.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230541.txt
