test_type,year_period,period,mod,place,link
cepunt,2024,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241102.txt
cepunt,2024,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241100.txt
cepunt,2024,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241059.txt
extraordinario,2024,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240427.txt
extraordinario,2024,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240432.txt
extraordinario,2024,ii,,santiago de chuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240431.txt
extraordinario,2024,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240430.txt
extraordinario,2024,ii,personas con discapacidad,,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240426.txt
extraordinario,2024,ii,victimas de la violencia,,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240425.txt
extraordinario,2024,ii,deportistas calificados,,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240424.txt
ordinario,2024,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240632.txt
ordinario,2024,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240845.txt
ordinario,2024,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240646.txt
ordinario,2024,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240847.txt
ordinario,2024,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240644.txt
ordinario,2024,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240846.txt
ordinario,2024,ii,,santiago de chuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240848.txt
cepunt,2025,i,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/7//152_DOC_CONVO_210720240711.txt
cepunt,2025,i,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/7//152_DOC_CONVO_210720240713.txt
cepunt,2025,i,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/7//152_DOC_CONVO_210720240715.txt
